,Cluster_1,Cluster_1,Cluster_2,Cluster_2,Cluster_3,Cluster_3,Cluster_4,Cluster_4,Cluster_5,Cluster_5,all_patnos,all_patnos
0,Protein_WDR1,-0.6226334245628999,Protein_F2.1,-0.9898720168695654,Protein_LBP,-0.8630533331705745,Protein_AHSG,2.597582260691745,Protein_PILRA,-5.576256671167404,Protein_APOE.3,14.47526058486135
1,Protein_LBP,0.5914476551079355,Protein_CHGA.1,0.7455160913250953,Protein_ITIH2,-0.5476445263156755,Protein_OBP2B,-1.4536990301147648,Protein_PILRA.1,-4.9642451786178405,Protein_APP,14.44747320717115
2,Protein_SMIM24,0.5514697519105649,Protein_SMIM24,0.7409786301369197,Protein_DBNL.1,-0.5422238591539594,Protein_TP53I11,-0.9632946934343196,Protein_AHSG,3.1050793630235347,Protein_APOE.1,14.38943782002245
3,Protein_TP53I11,0.5466779030396953,Protein_QPCT,0.7322103311386101,Protein_WDR1,0.5408262807532491,Protein_SMIM24,-0.7688627973401698,Protein_F2.1,1.442664252313734,Protein_APOE.2,14.3456731931569
4,Protein_DNASE1L2,0.5394645835650205,Protein_CHGA,0.6035383089158,Protein_COL6A3,-0.5361724874450751,Protein_CCK,-0.6641266593315143,Protein_HP.1,0.9494523166306506,Protein_APLP1,14.1166012524959
5,Protein_CHGA.1,0.5208049676316602,Protein_PLD3,0.5907032143718149,Protein_C9,-0.5333742413110008,Protein_CHGA.1,-0.6595603304549096,Protein_LBP,0.9323445686325202,Protein_IGFBP7,14.0068675257475
6,Protein_TAGLN,0.4656620837739567,Protein_F2.2,-0.5882114640239404,Protein_C9.1,-0.5066984667344752,Protein_C14orf93,-0.6441369121685048,Protein_F2.2,0.8741678274095994,Protein_SCG3,13.87301375761005
7,Protein_COL6A3,0.4563589844718201,Protein_HP.1,-0.5809318071476595,Protein_ITIH1,-0.5014305373100303,Protein_QPCT,-0.6193319467638649,Protein_SFTPD,0.8169396918092904,Protein_PIANP,13.50523242631785
8,Protein_HDHD2,0.4402075003970296,Protein_TP53I11,0.5693830922298506,Protein_C9.2,-0.49255051679424966,Protein_CHGA,-0.5526289069980992,Protein_CFP,0.8036140582762608,Protein_NRCAM,13.48155665340145
9,Protein_NBL1,0.43600505562815073,Protein_LRFN2,0.5445749719374913,Protein_HBA1,-0.4880981068098902,Protein_TMEM132D,-0.5522801533041006,Protein_ITIH4,0.7800871625290897,Protein_BTC.1,13.4040605123189
10,Protein_DBNL.1,0.43458620946514026,Protein_OLFM1,0.5422049494672496,Protein_CFHR5.1,-0.4711557316558448,Protein_RNASE1,-0.5470791658874496,Protein_APOL1,0.779820183736105,Protein_DKK3.1,13.35097424570035
11,Protein_LDHA,0.43336404527448025,Protein_C14orf93,0.5193950754675001,Protein_ITIH4,-0.4669226473809749,Protein_CRYZL1,-0.5323418610497992,Protein_ITIH2,0.7552910403682596,Protein_TMED10,13.27720774750565
12,Protein_NEFL,0.43190568671326446,Protein_HBA1,-0.5193943564746202,Protein_RTN4,-0.4589128703149701,Protein_F2.1,0.5290544963337802,Protein_CFHR5.1,0.7402578662564454,Protein_EFNA3.1,13.2447711390806
13,Protein_C14orf93,0.42702625922336024,Protein_ALB,-0.5132345401258647,Protein_MAP2K4,-0.4496499257251809,Protein_FAM159B.1,-0.5162841441720949,Protein_APOA1,0.7292683914458054,Protein_CHI3L1,13.0966795296263
14,Protein_RNASE1,0.42512221656214955,Protein_CBLN4,0.4933738525160205,Protein_HRG,-0.44784530028733505,Protein_ISLR2.1,-0.5142249806063397,Protein_ITIH1,0.721919920644635,Protein_NTM.1,13.0641960164894
15,Protein_OBP2B,0.4206708808442752,Protein_OBP2B,0.47861620161002527,Protein_AFM,-0.43192122573384495,Protein_NBL1,-0.5114382084508495,Protein_RPL30,0.7099075117433746,Protein_SPOCK3,13.04054492989135
16,Protein_EFCAB14.1,0.4111763887180251,Protein_TMEM132D,0.4718922351288697,Protein_SERPINA4.1,-0.4287628698110346,Protein_WDR1,0.508032723400385,Protein_HP,0.6994787481871154,Protein_SOD3,12.92205019709115
17,Protein_QPCT,0.4068491839694648,Protein_PILRA.1,0.4550852657149198,Protein_SERPINC1,-0.426434928842955,Protein_TMEM132B,-0.5032057063584747,Protein_APCS,0.6776158215301651,Protein_ICAM5,12.87943964411205
18,Protein_S100A13,0.40224898329702974,Protein_PILRA,0.4527267065913918,Protein_SERPINA4,-0.4174150057550907,Protein_BRSK2,-0.49488413720703583,Protein_APOM,0.6658526726489442,Protein_BCAN,12.824321216070949
19,Protein_CCK,0.3966112744439503,Protein_TMEM132B,0.4466572796497008,Protein_APOL1,-0.4058894812676703,Protein_NLGN2.1,-0.48153339623525593,Protein_C5,0.6595659110384999,Protein_IGLON5,12.81730038724275
20,Protein_PLBD1,0.3930762158711145,Protein_CGA.2,0.4443401684295045,Protein_CPB2,-0.4058289100125645,Protein_CBLN4,-0.47990342409793474,Protein_MST1,0.6585278137939299,Protein_PTGDS,12.81094836725365
21,Protein_CHGA,0.38724097120490075,Protein_APOL1,-0.44184226303366003,Protein_APOM,-0.40188301119386605,Protein_NPTX2,-0.4735668792873544,Protein_RTN4,0.6540864491962202,Protein_CNTN2,12.77955067412705
22,Protein_KLK11,-0.3851137028131504,Protein_PAK6,0.44089143981806433,Protein_SCGB3A1,-0.3968960826432255,Protein_COL6A3,-0.47269730695474976,Protein_PGLYRP2,0.6390802153310253,Protein_UNC5D,12.705349528346751
23,Protein_CALY.1,0.37799237880085546,Protein_DSG2,-0.4402939898963858,Protein_IGHG1.1,-0.3960502461190849,Protein_SLITRK1,-0.4646579694186004,Protein_GP5,0.6333150824336,Protein_PTPRD,12.69260804846615
24,Protein_FGA,0.37727200225305024,Protein_UNC5D.1,0.43956951627906626,Protein_CFI,-0.3922155592254146,Protein_UNC5D.1,-0.46139193802986433,Protein_VTN,0.6319714946314354,Protein_DKK3,12.6562703441151
25,Protein_DKK4,0.3751456834324456,Protein_CACNA2D3,0.43835295193179036,Protein_GP5,-0.3918294867549301,Protein_LINGO1,-0.4584763915066201,Protein_SHH,0.6304154090662699,Protein_CNTNAP2,12.63900140254545
26,Protein_FAM171B.1,0.37363406402094945,Protein_NRXN1,0.43704787118980093,Protein_DSG2,-0.38636034099453553,Protein_GAPDH,-0.4579460858546964,Protein_WDR1,-0.617159652472175,Protein_C3.2,12.566629838852
