,dim 1,dim 2,dim 3,dim 4
0,-0.08991778,0.7384353,-0.061306614,1.7986848
1,-0.5275933,-0.20111942,0.9569316,1.3885642
2,1.6286556,-1.1345148,0.45009354,-0.18014106
3,2.1752243,-1.459549,0.4314502,-1.3788548
4,0.89744025,-1.5210358,1.3354486,-0.7172041
5,1.6752758,0.5246758,-1.1367013,0.28284252
6,0.22836903,-0.019027632,0.3473658,1.2314363
7,1.1145476,-0.638549,0.3517907,0.54012364
8,1.1992582,-0.71185803,0.35947773,-0.16807446
9,-0.2367516,0.28557813,0.3782927,1.6397262
10,0.4381187,0.30076545,-0.18258336,1.0214608
11,0.42359757,0.31911975,-0.090006866,1.3108553
12,0.20117916,0.11843689,0.26559252,1.5525112
13,0.51407415,-0.28174073,0.40389726,0.9519777
14,1.5971953,0.50742674,-1.0956352,0.31458527
15,0.29249197,-0.102014296,0.3228104,0.9947723
16,1.2722715,-1.2108879,0.71037626,-0.09804377
17,1.2527335,-1.0861692,0.6237143,-0.025780156
18,0.63448745,-1.1522095,1.138434,0.27897388
19,0.44972938,-0.45794243,0.61218524,1.0753784
20,0.7717023,-0.32271576,0.29482138,0.935732
21,1.3741316,-2.2489402,1.8710625,-1.5536147
22,-0.20225202,0.34699935,0.29494098,1.6298063
23,1.1246686,-1.0005019,0.6788634,0.268107
24,0.66592044,-0.650579,0.64903593,0.70279485
25,0.6256405,0.056454338,0.04488775,1.0431073
26,0.8054943,-0.10784117,0.05217251,0.9869118
27,1.2293438,-0.40572524,0.060844816,0.41661036
28,0.98552245,0.058015727,-0.20078564,0.98061645
29,-0.364761,1.6117357,-0.79897004,1.8889582
30,0.26546776,0.1721277,0.18574235,1.4245906
31,0.7384966,-0.25459993,0.20059726,0.74019283
32,1.1573341,-0.5755833,0.25648245,0.5460746
33,0.7650094,0.4444322,-0.52900505,0.36524665
34,1.1295211,0.5224327,-0.72283655,0.84791946
35,1.4100254,-0.71019375,0.21413168,0.13136561
36,-0.2674145,-0.8245744,1.430491,1.2678094
37,0.26558834,0.2719456,0.09441016,1.2083155
38,0.7126146,-0.4722998,0.4508749,0.67817146
39,2.1207395,0.9058919,-1.8502995,-0.040372014
40,0.40040332,0.61960334,-0.56754076,0.8793739
41,0.6731533,-0.71938694,0.73560506,0.91002345
42,0.31351858,-1.0246404,1.2353328,0.5036502
43,2.1891646,0.20109417,-1.1786308,-0.27223402
44,1.1659926,-0.4375648,0.10729269,0.27569652
45,1.3629562,0.17282102,-0.54769355,0.54406047
46,1.4268881,-0.39723265,-0.09607683,0.29221493
47,1.1364175,-0.99161756,0.66540134,0.22686265
48,2.0459654,-0.78960496,-0.1841949,-0.46211952
49,1.2249025,-0.4284556,0.0240007,0.24691729
50,0.34093434,-1.0725855,1.2403669,0.7702591
51,0.7497306,0.06750114,-0.07992145,0.78177243
52,1.898425,-0.1475235,-0.63398266,0.020748481
53,0.438119,-0.46732545,0.636411,0.69918907
54,0.5674021,-0.9793795,0.95641536,0.43701315
55,1.1416181,-1.3644272,0.9890033,-0.20305325
56,0.82654124,0.47173125,-0.55597353,0.73506534
57,0.1133695,0.16112874,0.2435247,1.3995069
58,-0.4874851,0.28351897,0.49876907,1.7491916
59,0.46890098,-0.46916318,0.577285,0.99147
60,0.56215155,0.5166661,-0.33405736,1.5145091
61,-0.3642497,-0.2180197,0.9541872,1.5940017
62,0.6697711,-0.30471897,0.3245415,0.8851558
63,0.9552766,0.1136968,-0.36987415,0.3468297
64,-0.03964057,-0.3415826,0.825404,1.2762237
65,0.6459489,0.36397934,-0.32873216,1.027506
66,1.242008,-0.50673455,0.10725888,0.23482351
67,1.2266866,-0.62170714,0.2533859,0.10179792
68,0.70911366,-0.011396704,-0.08009376,0.50568783
69,0.15526924,-0.60521567,0.9459413,0.8431282
70,-0.6564631,-0.576996,1.4826962,1.8854864
71,0.8250215,1.60746,-1.5930619,1.0189481
72,0.50190276,-0.4039237,0.45894176,0.641574
