,index,latent_dim,hidden_dim,epochs,learning_rate,kl_div_loss_weight,nb_clusters,stability
363,378,5,40,120,-2.0,0.5,2,0.9865052370308331
28,29,7,30,140,-3.0,0.5,2,0.9710619602221476
111,118,8,30,130,-3.0,1.0,2,0.9662136162165252
253,267,6,20,100,-2.0,1.0,2,0.9662121512800566
302,316,10,30,100,-3.0,1.0,2,0.9625110851141462
380,397,7,30,120,-3.0,1.0,2,0.9617020258200304
200,212,9,20,120,-2.0,0.5,2,0.9616966283157876
345,359,5,40,110,-2.0,1.0,2,0.961610346392826
233,246,3,30,100,-2.0,0.5,2,0.9574291121990204
277,291,7,30,110,-3.0,0.5,2,0.9574266467400252
254,268,7,20,100,-2.0,0.5,2,0.9571845740188388
97,103,7,30,100,-3.0,0.5,2,0.957183992263968
219,231,7,30,90,-3.0,0.5,2,0.95717739750285
59,63,5,30,130,-2.0,1.0,2,0.9529120523222616
116,124,3,30,150,-2.0,1.0,2,0.9529120523222616
298,312,7,20,90,-2.0,0.5,2,0.95290821841964
39,42,10,20,150,-3.0,1.0,2,0.9529050961650718
78,82,7,20,150,-2.0,0.5,2,0.9488315803133792
16,17,2,30,120,-2.0,0.1,2,0.9456361444106788
101,107,5,40,140,-2.0,0.5,2,0.9455975385971344
162,174,2,30,90,-2.0,0.1,2,0.9407997573078052
283,297,10,30,120,-2.0,1.0,2,0.9404736189957724
358,372,9,40,90,-2.0,1.0,2,0.9404736189957724
278,292,10,30,110,-2.0,1.0,2,0.9365611131180877
244,258,9,20,90,-3.0,1.0,2,0.9326451415983926
58,62,6,50,100,-2.0,1.0,2,0.9320708627153906
179,191,4,30,90,-3.0,1.0,5,0.9305106878767592
133,143,9,20,130,-3.0,0.5,4,0.9280996345325018
340,354,4,40,130,-3.0,1.0,4,0.927699172488305
362,377,5,60,150,-2.0,1.0,2,0.9265536705591704
193,205,3,20,100,-3.0,0.5,5,0.92617629104288
43,46,8,60,90,-2.0,0.5,2,0.9218325434987832
176,188,9,30,100,-2.0,0.5,3,0.9217056665490424
232,245,10,40,140,-2.0,1.0,2,0.9209204632476504
288,302,5,20,110,-2.0,1.0,4,0.9190870528160122
235,248,6,20,150,-3.0,0.1,2,0.9169347991604488
62,66,9,50,90,-2.0,0.5,4,0.9157328876146008
194,206,9,30,140,-2.0,0.1,4,0.9156772229113096
230,243,6,50,130,-2.0,0.5,3,0.9153859866778192
258,272,4,20,90,-3.0,0.5,3,0.9152323497866466
160,172,5,20,100,-3.0,0.1,2,0.9108278090860692
104,110,9,50,120,-2.0,0.5,3,0.9104136478131436
373,389,2,30,150,-3.0,0.5,2,0.910181592244996
127,136,10,20,120,-3.0,0.1,5,0.9093021870919348
114,121,5,30,120,-3.0,1.0,4,0.9090562242972212
150,161,8,40,100,-3.0,1.0,2,0.908617820408899
46,49,4,40,120,-2.0,1.0,5,0.9060300178168424
311,325,4,60,150,-2.0,1.0,5,0.9058749073590088
0,0,10,30,100,-3.0,0.1,2,0.9048962831834548
124,132,3,20,150,-3.0,0.5,5,0.904700559559183
375,391,8,40,130,-2.0,0.1,2,0.9045195969321456
240,254,7,40,110,-2.0,0.5,2,0.903444391300798
276,290,3,60,150,-3.0,0.1,5,0.9033024399910944
317,331,5,30,150,-3.0,1.0,4,0.9029885979150124
316,330,8,40,120,-3.0,1.0,2,0.902338697673324
325,339,5,20,110,-3.0,0.1,2,0.9003874890140859
130,139,8,60,90,-3.0,0.1,3,0.89991365354526
159,171,4,30,100,-2.0,0.5,5,0.8996932532896185
165,177,2,30,100,-3.0,0.5,4,0.899277569415138
184,196,5,50,90,-3.0,0.1,2,0.8985548714362603
263,277,3,20,140,-2.0,1.0,5,0.8972692497251387
161,173,3,20,110,-3.0,0.1,5,0.8969076668785376
167,179,5,30,120,-3.0,0.5,4,0.8963328000590326
348,362,8,30,100,-2.0,1.0,3,0.8963320331506426
136,146,7,30,110,-2.0,0.1,3,0.8952780471277226
268,282,7,30,90,-2.0,0.1,3,0.8947724982692237
32,35,5,20,100,-3.0,1.0,3,0.8942810833024752
42,45,3,20,120,-3.0,0.1,5,0.8938994537281566
48,51,9,40,120,-2.0,0.1,4,0.8927145632570201
291,305,3,20,90,-3.0,0.5,5,0.8924830779359494
234,247,7,40,100,-3.0,0.5,4,0.8920137930093244
286,300,2,30,90,-3.0,0.5,4,0.8917921840556892
76,80,5,30,130,-3.0,0.5,5,0.8905039351014106
245,259,3,40,100,-2.0,0.1,3,0.8904790788273784
79,84,6,30,150,-3.0,0.5,5,0.8903036445754495
140,150,5,40,140,-2.0,0.1,2,0.8901128558842648
310,324,6,40,110,-3.0,1.0,4,0.8899818042275868
366,381,2,50,100,-3.0,0.1,5,0.8898637541865533
255,269,9,40,140,-3.0,1.0,5,0.8885077018986872
320,334,4,60,100,-3.0,0.5,4,0.8871392359961792
10,11,10,60,150,-2.0,1.0,3,0.8851391054480755
260,274,9,30,100,-3.0,0.1,4,0.8845695798086133
4,5,7,50,90,-3.0,0.5,3,0.8838072497215907
108,114,9,50,130,-3.0,0.5,4,0.8837624376440897
261,275,4,40,90,-3.0,0.1,3,0.8835946177815457
237,251,9,40,130,-3.0,1.0,5,0.8835775313717135
7,8,4,40,130,-3.0,0.5,3,0.8832601361087096
102,108,8,60,130,-2.0,0.1,2,0.8831335406879866
170,182,4,60,130,-3.0,0.1,4,0.8828378375459482
187,199,6,20,120,-3.0,0.1,2,0.8828082964920919
346,360,8,60,110,-3.0,0.1,3,0.8827996375222066
171,183,6,30,120,-3.0,0.1,5,0.8826582469347757
95,101,3,50,150,-2.0,1.0,5,0.8826269268595963
371,387,9,30,130,-3.0,1.0,5,0.8823966460430843
225,238,9,40,120,-3.0,0.1,4,0.8822586016196858
306,320,4,40,100,-3.0,0.5,3,0.8822498525871999
84,89,3,40,150,-3.0,0.1,5,0.8814354950341856
168,180,5,30,140,-2.0,0.1,2,0.8812776821784694
227,240,9,50,130,-2.0,0.5,3,0.8805740540070643
266,280,4,30,130,-3.0,0.1,4,0.8798435364760027
198,210,3,40,110,-3.0,0.5,5,0.8793402728035651
33,36,9,30,110,-2.0,1.0,5,0.8793262230481109
174,186,5,50,150,-3.0,0.5,3,0.8791822898980381
129,138,8,40,130,-3.0,1.0,2,0.8784029550226282
53,56,6,50,100,-2.0,0.1,2,0.8783137440344524
224,237,8,50,150,-3.0,0.1,2,0.8781864463607121
238,252,5,50,130,-3.0,1.0,5,0.8781821821428983
154,165,3,40,90,-2.0,1.0,4,0.8776642328974458
135,145,4,60,110,-3.0,0.5,4,0.8769490175826781
353,367,10,20,90,-3.0,0.5,4,0.8764366747183827
236,249,5,50,140,-3.0,0.5,3,0.8756814245530744
246,260,5,50,110,-2.0,0.1,4,0.8749204876824874
82,87,6,40,100,-2.0,0.5,4,0.8745847691365691
182,194,6,60,120,-3.0,1.0,5,0.8742847007438834
148,159,6,30,110,-2.0,0.1,3,0.8742834597054536
343,357,3,40,90,-3.0,1.0,5,0.8742482388167363
110,116,7,40,100,-2.0,1.0,2,0.8739331313863148
376,392,6,20,120,-2.0,0.1,5,0.8728484701447754
109,115,3,20,150,-3.0,0.1,5,0.8722573464742792
25,26,2,60,120,-3.0,1.0,5,0.8721392498025464
303,317,4,50,130,-2.0,1.0,4,0.8720314107264229
122,130,5,50,120,-3.0,1.0,5,0.8720041503641506
337,351,2,50,120,-2.0,0.1,5,0.8718045447018968
210,222,5,30,110,-3.0,0.5,4,0.871764542740981
63,67,6,40,100,-2.0,0.1,3,0.8715595355180892
196,208,8,60,90,-2.0,0.1,2,0.8715224556962684
208,220,5,30,100,-3.0,1.0,4,0.8712426930024784
146,157,9,40,90,-3.0,0.5,5,0.8711945547990877
120,128,3,50,100,-2.0,0.1,5,0.8708787640904014
289,303,5,60,130,-3.0,1.0,5,0.8707177702390612
216,228,4,50,140,-2.0,1.0,4,0.8706143817123027
157,168,10,60,120,-3.0,0.1,2,0.8701038031086259
21,22,5,50,110,-2.0,1.0,4,0.8700468451832273
70,74,5,50,130,-2.0,1.0,3,0.8699409738014503
287,301,3,40,120,-3.0,1.0,3,0.8694879178813015
202,214,10,40,100,-2.0,1.0,5,0.8693895623450363
158,170,8,30,150,-3.0,0.5,3,0.8690559393784281
349,363,4,60,90,-3.0,1.0,4,0.8688213604667541
213,225,6,50,100,-2.0,0.5,4,0.868664606566197
279,293,7,40,110,-3.0,0.5,4,0.868514856953698
49,52,10,20,110,-2.0,0.1,5,0.8682690609784339
342,356,6,20,140,-2.0,0.1,5,0.8679465631511891
275,289,7,50,90,-3.0,0.1,5,0.8676218999486114
267,281,9,30,110,-3.0,0.5,4,0.8674132985486023
190,202,6,30,130,-2.0,0.1,2,0.8673170258872547
20,21,4,20,130,-3.0,0.5,3,0.867056127294229
13,14,4,60,130,-3.0,1.0,5,0.8670286453495335
180,192,10,60,100,-2.0,0.5,3,0.8669875677304255
217,229,2,30,130,-3.0,0.1,4,0.8666881938964941
309,323,9,30,130,-3.0,0.1,3,0.8666790072078947
173,185,3,40,140,-2.0,0.1,3,0.8663174552700047
72,76,5,20,120,-3.0,0.1,4,0.8659800464482573
119,127,7,40,140,-3.0,0.1,5,0.8659432393739932
75,79,9,50,90,-3.0,0.1,5,0.8658568219690841
126,135,9,30,150,-3.0,1.0,5,0.8657219848854982
22,23,9,20,110,-3.0,0.1,3,0.8654476850639723
294,308,3,20,140,-2.0,0.1,3,0.8648433468713949
118,126,3,50,130,-3.0,1.0,3,0.8644435096229702
77,81,8,60,130,-3.0,1.0,4,0.8642904343390096
61,65,8,30,110,-3.0,0.1,4,0.8642131493986813
257,271,5,60,140,-3.0,1.0,5,0.8639434311052181
301,315,5,20,150,-3.0,0.1,4,0.8638422545982765
96,102,4,50,110,-3.0,1.0,4,0.8637905515497906
354,368,5,40,140,-3.0,0.1,3,0.8636035117798306
281,295,5,20,130,-3.0,0.1,4,0.8632839647045086
220,232,10,60,100,-3.0,0.5,3,0.8626201571922664
57,61,5,30,100,-3.0,0.5,4,0.8625169483621056
209,221,8,60,110,-3.0,1.0,4,0.862389365223091
374,390,5,60,90,-2.0,0.1,4,0.8616013341115292
67,71,7,60,150,-3.0,0.5,5,0.8608055017408729
367,382,3,40,100,-2.0,1.0,4,0.8603611033939532
223,235,5,50,130,-3.0,0.1,4,0.8601820744148505
105,111,4,50,140,-2.0,0.1,4,0.8600722873255047
68,72,7,60,110,-3.0,0.1,3,0.8599597849873857
265,279,6,40,90,-2.0,0.1,3,0.8593649928638043
145,156,4,50,130,-2.0,0.5,4,0.8593354662577154
132,142,9,30,90,-3.0,0.5,4,0.8592577226511076
292,306,9,60,140,-3.0,0.1,3,0.8587113358940124
284,298,5,60,100,-3.0,1.0,5,0.8586221271919797
