index,latent_dim,hidden_dim,epochs,learning_rate,kl_div_loss_weight,nb_clusters,stability
0,2,20,90,-2.0,0.1,5,0.8239397755263245
1,2,20,90,-2.0,0.5,5,0.8533782421771576
2,2,20,90,-2.0,1.0,2,0.9545110881110932
3,2,20,90,-3.0,0.1,5,0.8067381071251207
4,2,20,90,-3.0,0.5,5,0.8975042174403072
5,2,20,90,-3.0,1.0,5,0.8254245521992507
6,2,30,90,-2.0,0.1,2,0.9407997573078051
7,2,30,90,-2.0,0.5,3,0.8059661165339838
8,2,30,90,-2.0,1.0,5,0.8205277767170012
9,2,30,90,-3.0,0.1,4,0.864057107564144
10,2,30,90,-3.0,0.5,4,0.8917921840556892
11,2,30,90,-3.0,1.0,4,0.8587387833437691
12,2,40,90,-2.0,0.1,5,0.8123754554873865
13,2,40,90,-2.0,0.5,5,0.8515893157748341
14,2,40,90,-2.0,1.0,5,0.839793057886675
15,2,40,90,-3.0,0.1,5,0.8336748835875357
16,2,40,90,-3.0,0.5,5,0.7589555531748194
17,2,40,90,-3.0,1.0,5,0.8523368865376884
18,2,50,90,-2.0,0.1,5,0.8386982568378721
19,2,50,90,-2.0,0.5,3,0.8717867589880913
20,2,50,90,-2.0,1.0,5,0.8358412438761512
21,2,50,90,-3.0,0.1,5,0.8089942970541203
22,2,50,90,-3.0,0.5,5,0.8314482680377984
23,2,50,90,-3.0,1.0,5,0.7671558181979529
24,2,60,90,-2.0,0.1,5,0.745150877622421
25,2,60,90,-2.0,0.5,5,0.8294899903028048
26,2,60,90,-2.0,1.0,5,0.8759507151260448
27,2,60,90,-3.0,0.1,5,0.8338873773587223
28,2,60,90,-3.0,0.5,5,0.8006106125396257
29,2,60,90,-3.0,1.0,5,0.7894941561750819
30,3,20,90,-2.0,0.1,3,0.8787873121170253
31,3,20,90,-2.0,0.5,4,0.8634779444912202
32,3,20,90,-2.0,1.0,5,0.8026857096018367
33,3,20,90,-3.0,0.1,5,0.8884251713942659
34,3,20,90,-3.0,0.5,5,0.8924830779359494
35,3,20,90,-3.0,1.0,5,0.9190119880780874
36,3,30,90,-2.0,0.1,5,0.8259196035149156
37,3,30,90,-2.0,0.5,2,0.9486375578908395
38,3,30,90,-2.0,1.0,2,0.940478683906522
39,3,30,90,-3.0,0.1,5,0.8901860385055149
40,3,30,90,-3.0,0.5,5,0.8800888928425035
41,3,30,90,-3.0,1.0,5,0.833515629371675
42,3,40,90,-2.0,0.1,5,0.8671219116222276
43,3,40,90,-2.0,0.5,2,0.872544204352812
44,3,40,90,-2.0,1.0,4,0.8776642328974458
45,3,40,90,-3.0,0.1,5,0.8210389990184259
46,3,40,90,-3.0,0.5,5,0.8798684367203422
47,3,40,90,-3.0,1.0,5,0.8742482388167363
48,3,50,90,-2.0,0.1,5,0.8759417973523907
49,3,50,90,-2.0,0.5,4,0.8491285154030408
50,3,50,90,-2.0,1.0,5,0.8144746343612117
51,3,50,90,-3.0,0.1,5,0.7766082453620144
52,3,50,90,-3.0,0.5,3,0.798199397068158
53,3,50,90,-3.0,1.0,3,0.8337420761300597
54,3,60,90,-2.0,0.1,3,0.9053415732664032
55,3,60,90,-2.0,0.5,3,0.8533490960592898
56,3,60,90,-2.0,1.0,4,0.8512963146799608
57,3,60,90,-3.0,0.1,5,0.9076793331887976
58,3,60,90,-3.0,0.5,5,0.9081489271079461
59,3,60,90,-3.0,1.0,3,0.8722517761895956
60,4,20,90,-2.0,0.1,5,0.8166310627006306
61,4,20,90,-2.0,0.5,5,0.8336985583625847
62,4,20,90,-2.0,1.0,5,0.6472353679596372
63,4,20,90,-3.0,0.1,5,0.8937270791584151
64,4,20,90,-3.0,0.5,3,0.9152323497866466
65,4,20,90,-3.0,1.0,5,0.88754827631295
